race,sex,age,age_cat,decile_score,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,length_of_stay,two_year_recid
0,1,34,1,3,0,0,0,0,-1.0,0,1,0,10,1
0,1,24,0,4,0,0,1,4,-1.0,0,1,0,1,1
1,1,41,1,6,0,0,0,14,-1.0,0,1,1,6,1
1,0,39,1,1,0,0,0,0,-1.0,1,0,0,2,0
1,1,27,1,4,0,0,0,0,-1.0,0,0,0,1,0
0,1,23,0,6,0,0,0,3,0.0,1,1,1,4,1
1,0,37,1,1,0,0,0,0,0.0,1,0,0,0,0
0,1,41,1,4,0,0,0,0,-1.0,0,0,0,0,0
1,0,47,2,1,0,0,0,1,-20.0,0,1,0,14,1
0,1,31,1,3,0,0,0,7,22.0,0,1,0,3,1
0,1,25,1,10,0,0,0,3,-1.0,0,0,2,1,0
1,1,31,1,5,0,0,0,6,-1.0,0,1,1,1,1
1,1,31,1,3,0,0,0,5,-1.0,0,1,0,1,1
0,1,64,2,6,0,0,0,13,-1.0,0,1,1,1,1
0,1,21,0,9,0,0,0,1,-1.0,0,1,2,3,1
1,1,27,1,2,0,0,0,0,0.0,1,1,0,0,1
1,0,21,0,4,0,0,0,0,-2.0,0,0,0,1,0
1,1,43,1,1,0,0,0,1,-1.0,1,0,0,1,0
0,1,27,1,3,0,0,0,8,-1.0,0,1,0,17,1
0,1,26,1,7,0,0,1,5,-1.0,0,1,1,0,1
0,1,33,1,10,0,0,0,0,0.0,0,1,2,37,1
1,1,30,1,9,0,0,0,9,0.0,0,1,2,44,1
0,1,32,1,8,0,0,0,4,-1.0,0,1,2,1,1
1,1,55,2,1,0,0,0,0,-1.0,0,0,0,2,0
1,0,33,1,5,0,0,0,4,-1.0,1,1,1,11,1
1,1,24,0,2,0,0,0,1,0.0,1,1,0,1,1
0,1,34,1,9,2,1,3,21,0.0,0,1,2,33,1
1,1,29,1,2,0,0,0,0,0.0,1,0,0,-1,0
0,0,21,0,8,0,0,0,2,-1.0,0,0,2,79,0
0,1,51,2,1,0,0,0,2,-1.0,1,0,0,1,0
1,1,29,1,2,0,0,0,2,-1.0,1,1,0,0,1
0,0,51,2,2,0,0,0,7,-1.0,0,0,0,1,0
0,1,29,1,7,0,0,0,0,0.0,0,1,1,0,1
1,1,25,1,10,0,0,0,9,-1.0,1,1,2,6,1
0,1,35,1,8,1,0,4,13,-1.0,0,1,2,0,1
1,1,49,2,1,0,0,0,0,0.0,1,0,0,0,0
0,1,29,1,4,0,0,0,0,0.0,0,0,0,0,0
1,1,29,1,2,0,0,0,1,-24.0,0,1,0,0,1
0,1,31,1,5,0,0,1,15,-1.0,0,1,1,135,0
0,1,24,0,4,0,0,0,2,-1.0,0,1,0,1,1
0,1,49,2,1,0,0,0,4,-1.0,1,0,0,0,0
1,1,53,2,5,0,0,0,8,-13.0,0,0,1,13,0
0,1,35,1,3,0,0,0,5,-1.0,0,0,0,0,0
0,1,27,1,10,1,1,2,15,-1.0,0,1,2,1,1
1,1,38,1,2,0,0,0,4,-1.0,1,1,0,1,1
0,1,22,0,4,0,0,1,1,-1.0,0,1,0,1,1
0,1,29,1,9,0,0,0,4,-1.0,0,1,2,18,1
0,1,27,1,6,0,1,0,6,0.0,0,1,1,30,1
0,0,56,2,1,0,0,0,0,0.0,1,0,0,3,0
0,1,39,1,4,0,0,0,1,-1.0,1,0,0,4,0
0,1,29,1,6,0,0,0,5,0.0,0,1,1,1,1
1,1,27,1,6,0,0,1,1,-1.0,0,1,1,14,1
0,1,40,1,2,0,0,0,2,-15.0,0,0,0,3,0
0,1,22,0,3,0,0,0,1,0.0,1,1,0,16,1
1,1,22,0,8,0,0,0,0,-1.0,0,0,2,57,0
0,0,26,1,4,0,0,0,1,-1.0,0,1,0,2,1
0,1,32,1,2,0,0,0,0,-1.0,0,0,0,1,0
0,1,41,1,2,0,0,0,1,-1.0,1,0,0,1,0
0,1,30,1,10,0,0,0,8,-1.0,1,1,2,1,1
0,1,25,1,10,1,6,1,14,-1.0,0,1,2,7,1
0,1,22,0,9,1,0,0,2,0.0,0,1,2,30,1
0,0,35,1,2,0,0,0,1,-1.0,1,0,0,0,0
0,1,36,1,7,0,0,0,9,0.0,0,1,1,3,1
1,1,26,1,8,0,0,0,7,0.0,0,1,2,0,1
1,1,25,1,8,0,0,0,9,-1.0,0,1,2,0,1
1,0,20,0,7,0,0,0,0,-1.0,0,0,1,0,0
1,1,39,1,1,0,0,0,2,-2.0,0,1,0,-1,1
1,0,54,2,1,0,0,0,0,0.0,1,0,0,0,0
0,1,19,0,4,0,0,0,1,-10.0,1,1,0,9,1
0,1,30,1,2,0,0,0,1,-1.0,0,0,0,0,0
1,0,39,1,1,0,0,0,0,-1.0,0,1,0,1,1
1,1,24,0,6,0,1,2,8,-1.0,0,1,1,12,1
1,1,30,1,4,0,0,0,0,-1.0,0,0,0,5,0
1,1,31,1,5,0,0,0,0,-1.0,1,0,1,38,0
1,0,39,1,4,0,0,0,1,-1.0,0,0,0,106,0
1,1,43,1,1,0,0,0,1,-30.0,0,0,0,1,0
0,1,21,0,9,0,0,0,3,-1.0,0,1,2,6,1
1,1,38,1,4,0,0,0,5,-1.0,1,1,0,2,1
1,1,34,1,5,0,0,0,0,0.0,0,0,1,14,0
0,1,33,1,5,0,0,0,5,0.0,0,1,1,0,1
0,1,37,1,2,0,0,0,3,0.0,0,0,0,1,0
1,1,42,1,2,0,0,0,1,0.0,0,1,0,0,1
0,1,41,1,9,0,1,0,10,0.0,0,1,2,176,1
0,1,22,0,4,0,0,0,0,-1.0,0,1,0,0,1
0,1,33,1,8,0,12,2,28,-1.0,0,1,2,1,1
